地域名,センター,可燃,不燃,ビン缶,古紙,軟質プラスチック類
渡町19区,境港市,月 木,水2,水1 水3,水4,火
渡町１区,境港市,月 木,水2,水1 水3,水3,火
渡町２区,境港市,火 金,水2,水1 水3,水3,月
渡町３区（可燃火・金）,境港市,火 金,水2,水1 水3,水2,月
渡町３区（可燃月・木）,境港市,月 木,水2,水1 水3,水2,火
渡町４区,境港市,月 木,水2,水1 水3,水2,火
渡町５区,境港市,月 木,水2,水1 水3,水2,火
渡町６区,境港市,火 金,水2,水1 水3,水2,月
渡町７区,境港市,月 木,水2,水1 水3,水4,火
渡町８区,境港市,月 木,水2,水1 水3,水4,火
渡町９区,境港市,月 木,月2,火1 火3,水3,火
東雲会（可燃火・金）,境港市,火 金,月3,木2 木4,水3,火
東雲会（可燃月・木）,境港市,月 木,月3,木2 木4,水3,火
東京町会（可燃火・金）,境港市,火 金,水4,金1 金3,水2,火
東京町会（可燃月・木）,境港市,月 木,水4,金1 金3,水2,火
東本町会（可燃火・金）,境港市,火 金,月3,木2 木4,水3,火
東本町会（可燃月・木）,境港市,月 木,月3,木2 木4,水3,火
入朝会（可燃火・金）,境港市,火 金,月3,木2 木4,水3,火
入朝会（可燃月・木）,境港市,月 木,月3,木2 木4,水3,火
馬場崎町会（可燃火・金）,境港市,火 金,月1,火2 火4,水2,月
馬場崎町会（可燃月・木）,境港市,月 木,月1,火2 火4,水2,火
麦垣町（可燃火・金）,境港市,火 金,月4,木1 木3,水4,木
美保町,境港市,月 木,水4,金1 金3,水1,金
浜ノ町（可燃火・金）,境港市,火 金,水4,金1 金3,水1,月
浜ノ町（可燃月・木）,境港市,月 木,水4,金1 金3,水1,月
福定町,境港市,火 金,月3,木2 木4,水1,木
米川町（可燃火・金）,境港市,火 金,水4,金1 金3,水1,月
米川町（可燃月・木）,境港市,月 木,水4,金1 金3,水1,月
北・中・南日ノ出会（可燃火・金）,境港市,火 金,水1,水2 水4,水3,火
北・中・南日ノ出会（可燃月・木）,境港市,月 木,水1,水2 水4,水3,火
本京町会（可燃火・金）,境港市,火 金,水4,金1 金3,水2,火
本京町会（可燃月・木）,境港市,月 木,水4,金1 金3,水2,火
本町会（可燃火・金）,境港市,火 金,水1,水2 水4,水3,火
本町会（可燃月・木）,境港市,月 木,水1,水2 水4,水3,火
末広会（可燃火・金）,境港市,火 金,水1,水2 水4,水3,火
末広会（可燃月・木）,境港市,月 木,水1,水2 水4,水3,火
末広要会（可燃火・金）,境港市,火 金,水1,水2 水4,水3,火
末広要会（可燃月・木）,境港市,月 木,水1,水2 水4,水3,火
岬風会（可燃火・金）,境港市,火 金,月3,木2 木4,水3,火
岬風会（可燃月・木）,境港市,月 木,月3,木2 木4,水3,火
湊町（可燃火・金）,境港市,火 金,月1,火2 火4,水2,火
湊町（可燃月・木）,境港市,月 木,月1,火2 火4,水2,火
明広会（可燃火・金）,境港市,火 金,水1,水2 水4,水3,火
明広会（可燃月・木）,境港市,月 木,水1,水2 水4,水3,火
明治町（可燃火・金）,境港市,火 金,月1,火2 火4,水2,火
明治町（可燃月・木）,境港市,月 木,月1,火2 火4,水2,火
明生会（可燃火・金）,境港市,火 金,水1,水2 水4,水3,火
明生会（可燃月・木）,境港市,月 木,水1,水2 水4,水3,火
弥生町（可燃火・金）,境港市,火 金,水4,金1 金3,水1,月
弥生町（可燃月・木）,境港市,月 木,水4,金1 金3,水1,月
夕日ヶ丘1丁目,境港市,火 金,月2,火1 火3,水3,木
夕日ヶ丘2丁目,境港市,火 金,水2,水1 水3,水3,木
蓮池町（可燃火・金）,境港市,火 金,水4,金1 金3,水1,月
蓮池町（可燃月・木）,境港市,月 木,水4,金1 金3,水1,月
